DATATYPE	 3 Dimensional Data
XYZUNITS	 Nanometer;Nanometer;Emission
DECIMALSYMBOL	 ,
295,0	6,280	8,421	12,749	36,734	54,280	25,319	19,366	16,372	764,818	1015,749	383,702	1,357	0,576	0,386	0,260	0,141	0,127	0,015	-0,004	-0,048	0,084	0,083	0,093	0,057	-0,085	-0,099	-0,116	-0,084	-0,090	0,008	0,013	0,076	-0,025	0,084	-0,014
296,0	6,785	8,098	12,360	29,349	57,988	28,695	19,992	13,505	420,998	1015,749	708,151	4,176	0,559	0,260	0,321	0,181	0,056	0,107	0,007	0,023	-0,011	-0,008	0,087	0,046	-0,115	-0,055	-0,084	-0,132	0,030	0,094	0,009	0,079	-0,008	0,030	-0,017
297,0	7,598	9,099	12,951	26,434	60,847	32,987	21,229	14,202	195,587	1015,749	1007,986	19,097	0,714	0,457	0,260	0,209	0,104	-0,005	-0,022	0,037	-0,043	0,038	0,080	-0,040	-0,090	-0,051	-0,160	-0,038	0,031	0,061	0,021	0,005	0,060	-0,034	0,067
298,0	7,480	9,161	13,118	24,255	60,188	39,484	22,791	14,661	77,811	1015,749	1015,749	71,506	0,875	0,415	0,310	0,187	0,100	0,031	-0,033	-0,013	-0,045	0,071	0,006	0,071	0,012	-0,047	-0,112	-0,081	0,051	0,034	-0,012	0,072	0,068	-0,013	0,031
299,0	7,886	9,795	13,511	22,349	56,770	45,146	23,108	15,022	29,250	1010,771	1015,749	181,112	0,956	0,447	0,268	0,245	0,113	0,063	0,077	0,019	-0,009	0,061	0,084	0,071	0,036	-0,038	-0,114	-0,050	0,017	0,058	0,063	0,081	0,040	0,030	0,012
300,0	8,218	9,951	14,266	20,496	51,506	54,247	25,174	16,656	12,424	745,169	1015,749	402,004	1,302	0,571	0,311	0,168	0,165	0,068	0,057	0,013	-0,022	0,079	0,151	0,039	-0,081	-0,128	-0,111	-0,054	0,055	0,017	0,092	-0,014	0,053	0,063	0,114
301,0	8,753	10,738	15,105	20,617	45,759	59,831	26,839	17,275	9,669	406,342	1015,749	754,343	4,652	0,621	0,328	0,285	0,098	0,103	0,043	-0,046	0,005	0,123	0,156	0,058	-0,096	0,013	-0,153	-0,018	0,006	0,004	0,073	0,042	0,077	-0,016	0,022
302,0	9,331	11,408	15,255	21,064	41,645	64,747	29,660	18,180	9,821	192,815	1015,749	1014,989	21,700	0,633	0,419	0,175	0,137	0,047	0,074	-0,031	0,054	0,082	0,095	-0,013	-0,056	-0,058	-0,112	-0,048	-0,008	-0,017	0,055	0,037	0,072	0,029	0,085
303,0	9,251	12,207	15,557	21,805	37,096	67,460	33,370	18,904	10,536	87,718	1015,749	1015,749	65,363	0,683	0,502	0,288	0,218	0,097	0,068	-0,017	-0,013	0,034	0,131	0,016	0,020	-0,160	-0,056	-0,102	-0,048	0,020	0,049	0,005	0,077	0,055	0,040
304,0	9,949	11,869	16,363	22,131	33,793	67,784	38,181	19,729	10,965	30,276	1015,749	1015,749	180,073	0,858	0,437	0,274	0,197	0,086	0,003	0,077	0,033	-0,035	0,058	0,122	-0,041	-0,111	-0,116	-0,018	0,063	0,122	0,080	0,026	0,037	0,070	0,118
